,System Pressure,,"Pump Pressure, ",,Reactor Temperature
Time(hr),PT1 (PSIA),PT2(PSIA),MX03 (PSI),MX04 (PSI,R10 (degC)
1.50305,13.52447,60.73561,94,52,121.20638
1.50333,13.45179,60.7542,93,59,121.05046
1.50361,13.39809,60.76548,93,59,120.92009
1.50389,13.35078,60.77201,93,59,120.89392
1.50417,13.36058,60.76717,93,59,120.7578
1.50444,13.38747,60.74927,93,59,120.69816
1.50472,13.3968,60.74346,93,59,120.66966
1.505,13.4515,60.74003,93,59,120.61908
1.50528,13.50343,60.74781,93,59,120.6967
1.50555,13.56331,60.7638,95,46,120.69053
1.50583,13.61124,60.77666,95,46,120.68417
1.50611,13.58441,60.78804,95,46,120.67131
1.50639,13.5668,60.79192,95,46,120.6616
1.50667,13.52577,60.79957,95,46,120.6425
1.50694,13.47805,60.80717,95,46,120.62669
1.50722,13.4916,60.80489,95,46,120.60747
1.5075,13.51331,60.78183,95,46,120.58363
1.50778,13.6374,60.76025,95,51,120.5583
1.50805,13.64364,60.79225,95,51,120.52728
1.50833,13.45649,60.84711,95,51,120.49242
1.50861,13.49405,60.84939,95,51,120.45304
1.50889,13.43702,60.84593,95,51,120.41585
1.50917,13.62042,60.79247,95,51,120.37093
1.50944,14.03082,60.73953,95,51,120.33162
1.50972,14.11815,60.78449,95,51,120.29057
1.51,13.98643,60.85294,94,51,120.20412
1.51028,13.689,60.90667,94,51,120.08836
1.51055,13.51104,60.89495,94,51,120.04952
1.51083,13.64036,60.82485,94,51,120.02373
1.51111,13.79965,60.78518,94,51,120.14095
1.51139,13.98903,60.76992,94,51,120.2851
1.51167,14.00044,60.80637,94,51,120.50271
1.51194,13.76043,60.87418,94,51,120.55688
1.51222,13.56396,60.9088,95,55,120.76622
1.5125,13.51169,60.91479,95,55,120.95644
1.51278,13.44789,60.92813,95,55,121.17092
1.51305,13.41094,60.92551,95,55,121.31256
1.51333,13.4022,60.92242,95,55,121.38924
1.51361,13.40914,60.92747,95,55,121.46515
1.51389,13.44555,60.92368,95,55,121.48822
1.51417,13.48982,60.92928,95,55,121.56383
1.51444,13.56441,60.92931,94,38,121.55994
1.51472,13.60626,60.92927,94,38,121.64526
1.515,13.60023,60.93303,94,38,121.67676
1.51528,13.57699,60.93305,94,38,121.67672
1.51555,13.52231,60.94053,94,38,121.72697
1.51583,13.47654,60.94402,94,38,121.82064
1.51611,13.44387,60.94411,94,38,121.83986
1.51639,13.44538,60.94413,94,38,121.93452
1.51667,13.46085,60.94411,92,65,121.9371
1.51694,13.48614,60.94029,92,65,121.87224
1.51722,13.53614,60.95168,92,65,121.9586
1.5175,13.56918,60.96424,92,65,121.80788
1.51778,13.5932,60.97995,92,65,121.74651
1.51805,13.60721,60.99821,92,65,121.77199
1.51833,13.58992,61.00921,92,65,121.72843
1.51861,13.55827,61.01675,92,65,121.70811
1.51889,13.50451,61.02736,95,55,121.74715
1.51917,13.45876,61.03948,95,55,121.67179
1.51944,13.43971,61.0414,95,55,121.67383
1.51972,13.44716,61.04327,95,55,121.47276
1.52,13.50425,61.03497,95,55,121.41505
1.52028,13.55571,61.02816,95,55,121.30985
1.52055,13.59285,61.02813,95,55,121.25542
1.52083,13.61872,61.03909,95,55,121.27956
1.52111,13.59929,61.05725,94,54,121.25147
1.52139,13.5406,61.06979,94,54,121.32139
1.52167,13.46847,61.08265,94,54,121.2075
1.52194,13.41645,61.09202,94,54,121.21891
1.52222,13.4036,61.09202,94,54,121.17804
1.5225,13.40815,61.09202,94,54,121.131
1.52278,13.47341,61.09202,94,54,121.0117
1.52305,13.52418,61.08878,94,54,120.85686
1.52333,13.56218,61.08878,94,54,120.78223
1.52361,13.59383,61.08879,94,54,120.68199
