Time (hr),MX03 (uL/min),MX04 (uL/min)
4.01288,61.86687,67.52443
4.01289,62.00514,67.23013
4.01292,62.13351,67.01196
4.01294,62.26633,66.69376
4.01295,62.38752,66.26939
4.01297,62.5036,66.08775
4.01299,62.60535,65.75044
4.01301,62.69446,65.46502
4.01303,62.8061,65.11883
4.01305,62.88497,64.63061
4.01307,62.96145,64.39641
4.01309,63.00651,64.03587
4.01311,63.05124,63.69037
4.01312,63.08914,63.3394
4.01314,63.12739,62.80338
4.01316,63.16016,62.51045
4.01318,63.18508,62.10382
4.0132,63.19498,61.69993
4.01322,63.20728,61.3155
4.01324,63.19806,60.7375
4.01326,63.18134,60.36434
4.01327,63.15198,59.93791
4.01329,63.10487,59.4811
4.01331,63.0622,59.09018
4.01334,63.0103,58.48519
4.01335,62.96591,58.14275
4.01337,62.90582,58.69174
4.01339,62.82628,58.08197
4.01341,62.74297,61.93824
4.01343,62.65351,63.70573
4.01344,62.54938,63.08709
4.01346,62.44047,62.78459
4.01349,62.29912,62.47663
4.01351,62.21956,62.29091
4.01352,62.12397,62.04543
4.01354,62.02326,61.77913
4.01356,62.30527,61.59716
4.01358,62.49544,61.35953
4.01359,62.54289,61.19463
4.01361,62.40086,61.00174
4.01364,62.21718,60.74227
4.01366,62.02462,60.60707
4.01367,61.81875,60.43295
4.01369,61.60878,60.30696
4.01371,61.39882,60.18883
4.01373,61.19295,59.98671
4.01375,60.96898,59.89214
4.01377,60.73239,59.74943
4.01379,60.49408,59.62378
4.01381,60.24792,59.52477
4.01382,60.01235,59.3346
4.01384,59.73615,59.2687
4.01386,59.47531,59.18745
4.01388,59.19911,59.10278
4.0139,58.93758,59.07889
4.01392,58.65934,58.95496
4.01394,58.35002,58.92184
4.01396,58.05981,58.86379
4.01398,57.7481,58.78186
4.01399,57.45039,58.77436
4.01401,57.13082,58.68013
4.01403,56.77165,58.6634
4.01405,56.44834,58.65758
4.01407,56.1076,58.61695
4.01409,55.78804,58.67807
4.01411,55.43127,58.66817
4.01413,55.04547,58.67773
4.01414,54.68663,58.69856
4.01416,54.30221,58.675
4.01418,54.36093,58.73987
4.01421,54.39302,58.77435
4.01422,54.24416,58.78458
4.01424,57.0096,58.86072
4.01426,57.92528,58.88564
4.01428,58.06423,59.01436
4.0143,57.91094,59.13693
4.01431,57.69755,59.17961
4.01433,57.50637,59.27726
4.01436,57.30698,59.33325
4.01438,57.17827,59.46093
4.01439,56.98366,59.62686
4.01441,56.81296,59.67363
4.01443,56.66206,59.81635
4.01445,56.52891,59.92902
4.01446,56.434,60.10655
4.01449,56.26773,60.34486
4.01451,56.13253,60.47186
4.01453,56.00382,60.661
4.01454,55.90926,60.82727
4.01456,55.83415,61.17039
4.01458,55.69826,61.56574
4.0146,55.5989,61.75796
4.01462,55.49614,61.98466
4.01464,55.45687,62.19565
4.01466,55.40088,62.41211
4.01468,55.3046,62.74021
4.0147,55.23461,62.93003
4.01471,55.1595,63.17175
4.01473,55.16224,63.43328
4.01475,55.1216,63.6511
4.01478,55.06868,64.01265
4.01479,55.02976,64.24243
4.01481,55.00143,64.52409
4.01483,55.05093,64.844
4.01485,55.02943,65.11098
4.01486,55.02021,65.51931
4.01488,55.01099,65.8399
4.0149,55.02054,66.14512
4.01493,55.10112,66.50394
4.01494,55.08746,66.77741
4.01496,55.10999,67.19085
4.01498,55.11989,67.55412
4.015,55.1834,67.8846
4.01502,55.28616,68.28918
4.01503,55.31415,68.61523
4.01505,55.37219,69.08331
4.01508,55.41077,69.53363
4.01509,55.51115,69.8928
4.01511,55.63201,70.32366
4.01513,55.65488,70.67702
4.01515,55.6921,71.1427
4.01517,55.73716,71.64252
4.01518,55.52616,72.01808
4.0152,55.28819,72.48514
4.01523,55.13831,72.88869
4.01525,55.20625,73.39399
4.01526,55.31174,73.87674
4.01528,55.49441,73.26937
4.0153,55.6296,73.85387
4.01532,55.76002,69.99897
4.01533,55.89112,68.09047
4.01536,56.03383,68.79719
4.01538,56.24517,69.05223
4.0154,56.38993,69.32331
4.01541,56.55483,69.55137
4.01543,56.7095,69.67906
4.01545,56.88771,70.03071
4.01547,57.11475,70.17616
4.01549,57.2718,70.34993
4.01551,57.46232,70.53668
4.01553,57.63063,70.57799
4.01555,57.85836,70.85556
4.01557,58.10792,70.96584
4.01558,58.31004,71.07544
4.0156,58.5405,71.24444
4.01562,58.74158,71.23625
4.01565,59.01198,71.44075
4.01566,59.27555,71.5442
4.01568,59.49986,71.60258
4.0157,59.74842,71.74768
4.01572,59.97374,71.69135
4.01573,60.28101,71.81801
4.01575,60.55721,71.89722
4.01577,60.82044,71.90097
4.0158,61.09766,72.01363
4.01581,61.36329,71.92179
4.01583,61.70539,71.96481
4.01585,61.99558,72.04232
4.01587,62.27828,72.00476
4.01588,62.56302,72.08157
4.0159,62.86347,71.95763
4.01593,63.2298,71.9252
4.01595,63.55073,71.97197
4.01596,63.87371,71.85146
4.01598,64.18748,71.87399
4.016,64.52889,71.61963
4.01602,64.91571,71.33557
4.01604,65.25338,71.2731
4.01605,65.59514,71.12287
4.01608,65.91265,71.10307
4.0161,65.87715,70.93987
4.01612,65.83413,70.74253
4.01613,65.93758,70.7497
4.01615,63.15199,70.57285
4.01617,62.18613,70.49228
4.01619,62.07858,70.29459
4.01621,62.1991,70.02044
4.01623,62.35786,69.99244
4.01625,62.50603,69.78553
4.01627,62.63406,69.63907
4.01628,62.77984,69.43115
4.0163,62.90206,69.08598
4.01632,63.02531,69.00814
4.01634,63.125,68.75651
4.01636,63.21581,68.54278
4.01638,63.31619,68.30857
4.0164,63.393,67.90502
4.01642,63.46299,67.75685
4.01644,63.50703,67.4868
4.01645,63.54697,67.21265
4.01647,63.58691,66.96513
4.01649,63.61866,66.51856
4.01652,63.64803,66.30552
4.01653,63.66578,65.99313
4.01655,63.6733,65.65956
4.01657,63.68353,65.37722
4.01659,63.67534,64.88797
4.0166,63.65485,64.59572
4.01662,63.62275,64.26591
4.01664,63.57666,63.88079
4.01667,63.52375,63.58308
4.01668,63.4739,63.06106
4.0167,63.42235,62.69746
4.01672,63.36294,62.32532
4.01674,63.27827,61.88318
4.01676,63.20008,61.54211
4.01677,63.10482,60.99142
4.0168,62.99864,60.53494
4.01682,62.88598,60.14539
4.01684,62.74156,59.65853
4.01685,62.6091,59.29118
4.01687,62.47082,58.73127
4.01689,62.33836,58.22632
4.01691,62.19256,58.79307
4.01692,62.01742,58.3226
4.01695,61.84773,59.50799
4.01697,61.66439,63.81492
4.01699,61.48139,63.24135
4.017,61.27483,62.88798
4.01702,61.04745,62.58788
4.01704,60.86479,62.35606
4.01706,60.70057,62.13039
4.01708,60.51177,61.82927
4.0171,60.63468,61.65617
4.01712,60.75418,61.43663
4.01714,60.7453,61.23247
4.01715,60.53396,61.04537
4.01717,60.27107,60.7719
4.01719,59.97199,60.63465
4.01721,59.68383,60.47829
4.01723,59.38749,60.31749
4.01725,59.10787,60.21199
4.01727,58.81664,60.00988
