,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
1.15056,15.536,99.44733,123,145,75.35738
1.15083,16.00435,101.36153,123,145,75.3475
1.15111,15.07891,102.54596,127,145,75.29509
1.15139,13.2682,103.19177,127,145,75.24367
1.15167,11.21316,102.75063,127,145,75.24086
1.15194,9.33967,101.20129,127,145,75.22224
1.15222,8.02818,99.33244,127,145,75.24472
1.1525,8.27879,97.45228,127,145,75.24571
1.15278,9.54957,96.0422,127,145,75.36377
1.15306,10.93709,94.30239,127,145,75.36105
1.15333,13.30436,93.78118,124,144,75.3582
1.15361,15.57287,93.88032,124,144,75.33015
1.15389,15.99589,95.71335,124,144,75.31993
1.15417,15.93466,98.77436,124,144,75.31279
1.15444,14.03713,101.2955,124,144,75.26687
1.15472,11.19915,103.02844,124,144,75.1894
1.155,9.1329,102.90766,124,144,75.18617
1.15528,8.16503,101.60832,124,144,75.38831
1.15556,8.3412,99.82363,119,144,75.37962
1.15583,9.74522,97.92943,119,144,75.37533
1.15611,11.7987,96.67599,119,144,75.34591
1.15639,14.19453,95.68063,119,144,75.33569
1.15667,15.43143,96.25603,119,144,75.32976
1.15694,15.97697,96.96263,119,144,75.24564
1.15722,17.09514,97.36384,119,144,75.24168
1.1575,15.53967,99.15791,119,144,75.21428
1.15778,13.5671,100.46858,127,142,75.21173
1.15806,11.60396,101.39888,127,142,75.2001
1.15833,8.72932,102.55643,127,142,75.1935
1.15861,8.09304,102.02486,127,142,75.27763
1.15889,9.23312,100.6211,127,142,75.28133
1.15917,11.18574,98.8377,127,142,75.37489
1.15944,13.43014,97.18951,127,142,75.37141
1.15972,15.29171,95.92851,127,142,75.45548
1.16,16.21443,95.47317,140,142,75.45262
