,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
3.73611,16.38863,95.65286,124,139,155.28934
3.73639,15.22797,95.7779,124,139,155.29463
3.73667,13.25725,97.0211,124,139,155.27258
3.73694,11.07148,98.52456,124,139,155.32372
3.73722,9.4921,100.29945,124,139,155.3197
3.7375,8.67557,101.99535,124,139,155.30185
3.73778,8.88648,103.13421,124,139,155.2903
3.73806,10.52825,102.9501,127,139,155.28104
3.73833,12.30974,102.46388,127,139,155.25427
3.73861,14.3788,100.99731,127,139,155.32579
3.73889,15.81401,99.30599,127,139,155.30705
3.73917,16.60763,97.73949,127,139,155.30357
3.73944,15.9355,96.61093,127,139,155.28842
3.73972,14.70399,95.68885,127,139,155.25989
3.74,13.02167,95.74744,127,139,155.26996
3.74028,10.82614,96.86257,124,142,155.36003
3.74056,9.2474,98.23757,124,142,155.35098
3.74083,8.8519,100.01984,124,142,155.34692
3.74111,8.80249,101.84644,124,142,155.32227
3.74139,10.17708,102.84731,124,142,155.31137
3.74167,12.22865,103.07951,124,142,155.28793
3.74194,14.36144,102.8886,124,142,155.2521
3.74222,15.98809,101.52175,124,142,155.21211
3.7425,16.82373,99.79383,115,142,155.1359
3.74278,16.48248,98.23625,115,142,155.1417
3.74306,14.91781,96.92196,115,142,155.12674
3.74333,12.98116,95.92591,115,142,155.1221
3.74361,11.16765,96.25719,115,142,155.1119
3.74389,9.75581,97.00685,115,142,155.10876
3.74417,9.24824,98.39037,115,142,155.09396
3.74444,9.78678,100.08821,115,142,155.09396
3.74472,10.88467,101.54206,127,142,155.08977
3.745,12.68258,102.37903,127,142,155.06572
3.74528,14.77103,102.88535,127,142,155.05905
3.74556,16.26508,102.32092,127,142,155.0425
3.74583,16.80027,101.27094,127,142,154.97772
3.74611,16.45922,99.72103,127,142,154.98372
3.74639,14.80537,97.89664,127,142,154.97678
3.74667,12.67214,96.31142,127,142,154.9719
3.74694,10.71501,95.45589,119,142,154.94759
3.74722,9.27714,95.52785,119,142,154.91995
3.7475,8.48462,96.09177,119,142,154.97758
3.74778,9.29733,97.7367,119,142,154.99438
3.74806,10.51035,99.37382,119,142,154.99123
3.74833,12.44032,101.02267,119,142,154.9742
3.74861,14.60801,102.49006,119,142,154.97392
3.74889,16.25072,103.33157,119,142,154.95232
3.74917,16.75879,102.87872,125,141,154.94194
3.74944,16.44713,101.98296,125,141,155.02293
3.74972,14.85671,100.24486,125,141,155.03386
3.75,12.78371,98.24634,125,141,155.03258
3.75028,10.99312,96.76622,125,141,155.06364
3.75056,9.33952,95.68649,125,141,155.07307
3.75083,8.25104,94.96693,125,141,155.05324
3.75111,8.6636,95.58401,125,141,155.05077
3.75139,9.47027,96.40291,125,142,155.03015
3.75167,11.59064,98.0851,125,142,155.01321
3.75194,13.95158,99.97755,125,142,155.08653
3.75222,15.5292,101.40097,125,142,155.12035
3.7525,16.23894,102.27556,125,142,155.1168
3.75278,15.69044,102.24171,125,142,155.1411
3.75306,14.5755,101.81933,125,142,155.137
3.75333,12.68908,100.58637,125,142,155.15996
3.75361,11.21748,99.29041,127,143,155.16856
3.75389,9.99568,98.04188,127,143,155.18298
3.75417,8.98324,96.501,127,143,155.16342
3.75444,9.13595,95.36198,127,143,155.16055
3.75472,10.40884,95.84229,127,143,155.1417
3.755,11.51052,95.869,127,143,155.12062
3.75528,14.01637,97.85281,127,143,155.09665
3.75556,15.85598,99.97887,127,143,155.13226
3.75583,16.74903,101.57965,128,143,155.14117
3.75611,16.86229,102.96812,128,143,155.27399
3.75639,15.52755,103.2234,128,143,155.26994
3.75667,13.57861,102.68747,128,143,155.26042
3.75694,11.36831,101.27537,128,143,155.25783
3.75722,9.41154,99.46901,128,143,155.2396
3.7575,8.66493,97.62521,128,143,155.24364
3.75778,8.61273,95.97774,128,143,155.2405
3.75806,9.89814,95.18612,124,143,155.1985
3.75833,12.15582,95.50038,124,143,155.19542
3.75861,14.35074,96.33752,124,143,155.2948
3.75889,16.23749,98.01497,124,143,155.28925
3.75917,17.17165,99.84131,124,143,155.28482
3.75944,16.66593,101.47742,124,143,155.2805
3.75972,15.12551,102.4809,124,143,155.27628
3.76,12.96791,102.92723,124,143,155.2497
