Time(hr),MX05,,Time(hr),MX06
1.00878,66.0808,,1.00898,136.4545
1.00879,66.38472,,1.009,137.18478
1.00881,66.70512,,1.00902,137.92258
1.00883,67.04044,,1.00904,138.63546
1.00885,67.39969,,1.00906,139.44495
1.00886,67.73757,,1.00908,139.34287
1.00889,68.10927,,1.0091,138.87616
1.00891,68.51334,,1.00911,138.71638
1.00893,68.45349,,1.00913,138.6638
1.00894,68.42327,,1.00916,138.65732
1.00896,68.43386,,1.00918,138.65561
1.00898,68.45703,,1.00919,138.65561
1.009,68.49197,,1.00921,138.6498
1.00902,68.52699,,1.00923,138.59143
1.00904,68.55071,,1.00926,138.47228
1.00906,68.56116,,1.00927,138.30088
1.00908,68.55558,,1.00929,138.05984
1.0091,68.53391,,1.00931,137.73959
1.00911,68.49574,,1.00933,137.33946
1.00913,68.42545,,1.00934,136.87854
1.00915,68.32933,,1.00937,136.35038
1.00918,68.20365,,1.00939,135.73173
1.00919,68.0444,,1.00941,135.03798
1.00921,67.85328,,1.00942,134.28995
1.00923,67.62474,,1.00944,133.51357
1.00925,67.36101,,1.00946,132.59995
1.00926,67.06549,,1.00949,132.22474
1.00928,66.72851,,1.0095,132.36916
1.0093,66.4028,,1.00952,132.27083
1.00932,66.01707,,1.00954,132.0315
1.00934,65.65169,,1.00956,131.71398
1.00936,65.69222,,1.00958,131.36779
1.00938,65.64738,,1.0096,130.99155
1.0094,65.5557,,1.00962,130.61292
1.00942,65.43165,,1.00964,130.24146
1.00943,65.28211,,1.00966,129.87785
1.00945,65.1231,,1.00967,129.55863
1.00948,64.9605,,1.0097,129.27219
1.0095,64.80033,,1.00972,129.01921
1.00951,64.64404,,1.00974,128.80344
1.00953,64.492,,1.00975,128.6259
1.00955,64.34488,,1.00977,128.52314
1.00957,64.21686,,1.00979,128.45963
1.00958,64.0935,,1.00982,128.42345
1.0096,63.98969,,1.00983,128.43643
1.00962,63.90322,,1.00985,128.50505
1.00965,63.83765,,1.00987,128.61703
1.00966,63.79269,,1.00989,128.77954
1.00968,63.77026,,1.00991,128.9745
1.0097,63.76843,,1.00993,129.21383
1.00972,63.79519,,1.00995,129.50438
1.00974,63.84547,,1.00997,129.83248
1.00975,63.92093,,1.00998,130.19916
1.00978,64.02233,,1.01,130.59861
1.0098,64.14547,,1.01003,131.03085
1.00982,64.29068,,1.01005,131.52044
1.00983,64.4575,,1.01006,132.04417
1.00985,64.6418,,1.01008,132.61671
1.00987,64.8499,,1.0101,133.24799
1.00989,65.07612,,1.01013,133.90077
1.0099,65.31991,,1.01014,134.58395
1.00993,65.5855,,1.01016,135.30707
1.00995,65.86797,,1.01018,136.04931
1.00997,66.17193,,1.0102,136.80622
1.00998,66.49565,,1.01022,137.52216
1.01,66.83459,,1.01024,138.33336
1.01002,67.19943,,1.01026,138.45968
1.01004,67.53888,,1.01028,138.13909
1.01005,67.91665,,1.0103,138.0295
1.01008,68.30385,,1.01031,138.00629
1.0101,68.23623,,1.01034,138.02404
1.01012,68.2238,,1.01036,138.03941
1.01014,68.24331,,1.01038,138.03257
1.01015,68.27433,,1.01039,137.99912
1.01017,68.31668,,1.01041,137.9264
1.01019,68.35687,,1.01043,137.79461
1.01021,68.38313,,1.01046,137.60206
1.01023,68.39414,,1.01047,137.33507
1.01025,68.3864,,1.01049,137.00457
1.01027,68.36377,,1.01051,136.60307
1.01029,68.32182,,1.01053,136.14729
1.0103,68.2523,,1.01055,135.6116
1.01032,68.15648,,1.01057,135.00286
1.01034,68.03415,,1.01059,134.33573
1.01036,67.87493,,1.01061,133.5952
1.01038,67.6856,,1.01062,132.83248
1.0104,67.45982,,1.01064,131.94344
1.01042,67.19991,,1.01067,131.51428
1.01044,66.90699,,1.01069,131.74302
1.01045,66.57068,,1.0107,131.67712
1.01047,66.24219,,1.01072,131.46033
1.01049,65.85642,,1.01074,131.16466
1.01051,65.53503,,1.01077,130.83725
1.01053,65.55498,,1.01078,130.48354
1.01055,65.4937,,1.0108,130.1237
1.01057,65.39202,,1.01082,129.78878
1.01059,65.26433,,1.01084,129.4641
1.01061,65.1179,,1.01086,129.15853
1.01062,64.96153,,1.01088,128.85946
1.01064,64.80671,,1.0109,128.60784
1.01066,64.6494,,1.01092,128.39173
1.01069,64.50054,,1.01094,128.21351
1.0107,64.35643,,1.01095,128.10529
1.01072,64.21997,,1.01098,128.0609
1.01074,64.09554,,1.011,128.04588
1.01076,63.97977,,1.01102,128.08958
1.01077,63.88028,,1.01103,128.18586
1.01079,63.80133,,1.01105,128.31902
1.01081,63.74298,,1.01107,128.49997
1.01084,63.70525,,1.0111,128.72599
1.01085,63.69076,,1.01111,129.00322
1.01087,63.69692,,1.01113,129.33302
1.01089,63.73678,,1.01115,129.68741
1.01091,63.79718,,1.01117,130.1012
1.01093,63.88104,,1.01118,130.55391
1.01094,63.99189,,1.01121,131.04213
1.01096,64.12442,,1.01123,131.57576
1.01099,64.27296,,1.01125,132.11998
1.01101,64.44678,,1.01126,132.70277
1.01102,64.63398,,1.01128,133.33678
1.01104,64.8444,,1.0113,133.98683
1.01106,65.07414,,1.01133,134.66625
1.01108,65.32233,,1.01134,135.37502
1.01109,65.58855,,1.01136,136.09301
1.01111,65.87461,,1.01138,136.84958
1.01114,66.17751,,1.0114,137.56177
1.01116,66.50403,,1.01142,138.37809
1.01117,66.84914,,1.01144,138.61058
1.01119,67.21644,,1.01146,138.27634
1.01121,67.557,,1.01148,138.15616
1.01123,67.93745,,1.0115,138.13772
1.01125,68.2809,,1.01151,138.16846
1.01127,68.2032,,1.01154,138.20771
1.01129,68.19156,,1.01156,138.23025
1.01131,68.21492,,1.01158,138.23333
1.01133,68.25324,,1.01159,138.19509
1.01134,68.29761,,1.01161,138.10496
1.01136,68.33971,,1.01164,137.9421
1.01138,68.36575,,1.01166,137.69423
1.0114,68.37921,,1.01167,137.3774
1.01141,68.37663,,1.01169,136.98784
1.01144,68.35108,,1.01171,136.52761
1.01146,68.30543,,1.01173,135.9892
1.01148,68.23117,,1.01175,135.37089
1.01149,68.13498,,1.01177,134.69933
1.01151,68.00891,,1.01179,133.96767
1.01153,67.84874,,1.01181,133.2309
1.01155,67.65645,,1.01182,132.36917
1.01157,67.43008,,1.01185,131.85465
1.01159,67.16572,,1.01187,132.01137
1.01161,66.86803,,1.01189,131.94103
1.01163,66.53173,,1.0119,131.74438
1.01164,66.20295,,1.01192,131.46818
1.01166,65.80768,,1.01194,131.15612
1.01168,65.54567,,1.01197,130.82494
1.0117,65.56789,,1.01198,130.49036
1.01172,65.5145,,1.012,130.14929
1.01174,65.41259,,1.01202,129.81095
1.01176,65.28531,,1.01204,129.50197
1.01178,65.14028,,1.01206,129.20426
1.0118,64.98457,,1.01208,128.95127
1.01181,64.8285,,1.0121,128.75222
1.01183,64.66954,,1.01212,128.57742
1.01185,64.51659,,1.01214,128.45757
1.01188,64.37413,,1.01215,128.39988
1.01189,64.2435,,1.01218,128.38623
1.01191,64.1215,,1.0122,128.43232
1.01193,64.01044,,1.01222,128.51631
1.01195,63.91136,,1.01223,128.65253
1.01196,63.83681,,1.01225,128.84475
1.01198,63.77723,,1.01228,129.06461
1.012,63.74203,,1.0123,129.32682
1.01203,63.7278,,1.01231,129.6375
1.01204,63.73837,,1.01233,130.00316
1.01206,63.77343,,1.01235,130.40773
1.01208,63.83375,,1.01237,130.84201
1.0121,63.91568,,1.01239,131.30497
1.01212,64.02668,,1.01241,131.82119
1.01213,64.15939,,1.01243,132.37769
1.01215,64.30999,,1.01245,132.97517
1.01218,64.48429,,1.01246,133.61225
1.0122,64.67497,,1.01249,134.25205
1.01221,64.88935,,1.01251,134.93351
1.01223,65.12154,,1.01253,135.63853
1.01225,65.36929,,1.01254,136.36336
1.01227,65.64076,,1.01256,137.11959
1.01228,65.93108,,1.01258,137.84613
1.0123,66.23691,,1.01261,138.66552
1.01232,66.56657,,1.01262,138.98441
1.01235,66.91337,,1.01264,138.59451
1.01236,67.28198,,1.01266,138.44908
1.01238,67.62466,,1.01268,138.41528
1.0124,68.00802,,1.0127,138.43678
1.01242,68.30853,,1.01272,138.46547
1.01244,68.25507,,1.01274,138.47127
1.01245,68.25885,,1.01276,138.4559
1.01248,68.29303,,1.01278,138.40195
1.0125,68.33894,,1.01279,138.29646
1.01252,68.38515,,1.01281,138.12779
1.01253,68.42794,,1.01284,137.89734
