,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
2.59889,9.14425,101.305,144,145,155.27357
2.59917,8.56089,102.49638,144,145,155.29794
2.59944,9.02774,102.95742,144,145,155.32748
2.59972,10.73869,102.43653,144,145,155.31413
2.6,13.09496,100.81028,144,145,155.31007
2.60028,15.3006,98.85775,128,139,155.27982
2.60056,16.45933,97.0777,128,139,155.26941
2.60083,16.67938,95.42741,128,139,155.24786
2.60111,15.62726,94.70419,128,139,155.09082
2.60139,13.40107,95.34405,128,139,155.10028
2.60167,11.21905,96.49139,128,139,155.21776
2.60194,9.47749,98.41095,128,139,155.21384
2.60222,8.51599,100.46694,128,139,155.18692
2.6025,8.96678,102.18329,123,138,155.18246
2.60278,10.80755,102.84013,123,138,155.15593
2.60306,12.97075,102.84921,123,138,155.13332
2.60333,14.83305,101.7944,123,138,155.10532
2.60361,16.22752,99.9733,123,138,155.20396
2.60389,16.36377,98.15182,123,138,155.20396
2.60417,15.3064,96.70763,123,138,155.2128
2.60444,13.80368,95.4664,123,138,155.19485
2.60472,11.59246,95.59961,127,144,155.20917
2.605,9.64341,96.56071,127,144,155.2045
2.60528,8.37653,98.13245,127,144,155.16823
2.60556,8.55423,100.255,127,144,155.15576
2.60583,9.8644,102.01974,127,144,155.04427
2.60611,11.90297,102.92382,127,144,155.04095
2.60639,14.45431,103.13909,127,144,155.01642
2.60667,16.32511,102.35777,127,144,155.0386
2.60694,16.87566,100.58929,127,142,155.01262
2.60722,16.52483,98.53742,127,142,155.00801
2.6075,14.57687,96.78361,127,142,155.00034
2.60778,11.93617,95.39986,127,142,155.11935
2.60806,9.68658,95.07104,127,142,155.10579
2.60833,8.27891,96.00331,127,142,155.10141
2.60861,8.06762,97.5533,127,142,155.15356
2.60889,9.33863,99.48864,127,142,155.14981
2.60917,11.37767,101.49191,132,146,155.11906
2.60944,13.72991,102.83672,132,146,155.10892
2.60972,15.40917,102.95841,132,146,155.08713
2.61,16.61661,102.45783,132,146,155.08694
2.61028,16.31278,100.7985,132,146,155.0471
2.61056,14.80192,98.7301,132,146,155.04343
2.61083,12.86923,96.83469,132,146,155.10558
2.61111,10.56677,95.5307,132,146,155.09818
2.61139,8.66242,94.82842,125,147,155.0935
2.61167,8.14486,95.34019,125,147,155.06866
2.61194,8.82076,96.80335,125,147,155.05144
2.61222,10.53352,98.72368,125,147,155.0368
2.6125,12.92056,100.81229,125,147,154.93695
2.61278,15.26818,102.59504,125,147,154.95517
2.61306,16.47099,103.04761,125,147,154.92764
2.61333,16.73525,102.83907,125,147,154.9245
2.61361,15.90466,101.78871,123,142,154.91185
2.61389,13.97213,99.98484,123,142,154.88806
2.61417,11.75215,97.96426,123,142,154.87961
2.61444,9.79898,96.40119,123,142,154.84798
2.61472,8.53721,95.28214,123,142,154.83904
2.615,8.44274,95.11126,123,142,154.92914
2.61528,9.58522,96.03857,123,142,154.9319
2.61556,11.3299,97.31435,123,142,154.92938
2.61583,13.34065,99.07214,130,144,154.90701
2.61611,15.25614,100.93002,130,144,154.90392
2.61639,16.47038,102.27476,130,144,154.88602
2.61667,16.30114,102.73706,130,144,154.86378
2.61694,15.1615,102.50999,130,144,154.83607
2.61722,12.98943,101.00259,130,144,155.03395
2.6175,10.41733,98.96926,130,144,155.03015
2.61778,8.68949,97.11061,130,144,155.10632
2.61806,8.35943,95.77828,126,145,155.12602
2.61833,8.90808,94.99725,126,145,155.09744
2.61861,10.8693,95.59497,126,145,155.08774
2.61889,13.13266,97.00779,126,145,155.07393
2.61917,15.20778,98.92956,126,145,154.93877
2.61944,16.29963,100.85553,126,145,154.93877
2.61972,16.26851,102.45637,126,145,154.9433
2.62,15.07214,102.82497,126,145,155.00464
2.62028,12.90803,102.40135,127,141,155.00337
2.62056,11.44634,101.55763,127,141,155.04962
2.62083,10.73202,100.23795,127,141,155.0694
2.62111,9.92287,98.26267,127,141,155.1323
2.62139,10.65887,96.85439,127,141,155.13358
2.62167,11.65162,95.81445,127,141,155.13086
2.62194,12.99373,95.46162,127,141,155.22562
2.62222,15.07199,96.61791,127,141,155.22095
2.6225,16.5444,98.22315,125,141,155.21022
2.62278,16.87373,100.08605,125,141,155.19482
2.62306,15.88069,101.54417,125,141,155.1899
2.62333,14.41815,101.99149,125,141,155.22736
2.62361,12.83862,101.28062,125,141,155.24167
2.62389,10.674,100.50125,125,141,155.21286
2.62417,9.83522,98.9619,125,141,155.20972
2.62444,9.42392,97.35348,125,141,155.22694
2.62472,9.91708,96.19861,123,136,155.22762
2.625,12.12935,94.98266,123,136,155.22289
2.62528,14.37996,94.44723,123,136,155.38484
2.62556,16.28332,95.21214,123,136,155.38013
2.62583,17.02465,96.44458,123,136,155.35594
2.62611,16.47199,98.33478,123,136,155.35294
2.62639,14.63707,100.36629,123,136,155.32417
2.62667,12.10563,101.99725,123,136,155.28996
2.62694,10.03915,102.43736,119,143,155.27666
2.62722,8.6012,101.98209,119,143,155.18813
2.6275,8.26768,100.65785,119,143,155.18973
2.62778,9.55811,98.55173,119,143,155.18484
2.62806,11.50805,96.52045,119,143,155.19997
2.62833,13.94288,94.80396,119,143,155.19554
2.62861,16.17902,93.84578,119,143,155.14754
2.62889,17.33536,94.17988,119,143,155.14613
2.62917,16.99117,95.43326,133,140,155.15721
2.62944,15.28377,97.55923,133,140,155.1344
2.62972,12.89849,99.73942,133,140,155.12794
2.63,10.37567,101.58388,133,140,155.10287
2.63028,8.58796,102.62159,133,140,155.06937
2.63056,8.30694,102.32543,133,140,155.02876
2.63083,8.89372,101.38672,133,140,154.80273
2.63111,10.76234,99.65585,133,140,154.80045
2.63139,13.06997,97.67265,130,143,154.87321
2.63167,14.93321,96.0644,130,143,154.87857
2.63194,16.13732,95.04108,130,143,154.98582
2.63222,16.83317,94.37621,130,143,154.98163
2.6325,15.92627,94.97413,130,143,154.97513
2.63278,14.54617,96.04984,130,143,154.99864
2.63306,12.57217,97.6283,130,143,154.97137
2.63333,10.55217,99.46197,130,143,154.96062
2.63361,9.01876,101.21176,128,139,154.93845
2.63389,8.59106,102.0674,128,139,154.90298
2.63417,9.20921,102.22531,128,139,154.88757
2.63444,10.583,101.76712,128,139,154.86688
2.63472,12.81381,100.09007,128,139,154.79196
2.635,14.94857,98.47172,128,139,154.79659
2.63528,15.98441,97.09516,128,139,154.97537
2.63556,16.29091,95.91633,128,139,154.97374
2.63583,15.43033,95.67333,129,144,154.94727
2.63611,13.84696,96.11339,129,144,154.94496
2.63639,12.37003,96.54134,129,144,154.9289
2.63667,10.61682,97.97755,129,144,154.91025
2.63694,9.4288,99.50852,129,144,154.89073
2.63722,8.66808,101.27321,129,144,154.87907
2.6375,8.99095,102.51193,129,144,154.86797
2.63778,10.14961,102.96835,129,144,154.81844
2.63806,12.03807,102.35342,125,144,154.81769
2.63833,14.02336,101.151,125,144,154.95393
2.63861,15.50324,99.45105,125,144,154.95154
2.63889,15.88257,97.81528,125,144,154.93156
2.63917,15.32942,96.35458,125,144,154.96463
2.63944,13.89478,95.68475,125,144,154.9626
2.63972,11.99744,95.71958,125,144,155.0331
2.64,10.08479,96.6827,125,144,155.06998
2.64028,9.23359,98.22533,120,144,155.14755
2.64056,8.94525,100.01331,120,144,155.13597
2.64083,10.0242,101.40794,120,144,155.13297
2.64111,11.8077,102.01537,120,144,155.12427
2.64139,13.80799,102.18961,120,144,155.11272
2.64167,15.18614,101.22717,120,144,155.0837
2.64194,16.13208,99.89269,120,144,155.07358
2.64222,15.8282,98.4576,120,144,155.05215
2.6425,14.47341,96.78396,129,147,155.02208
2.64278,12.7012,95.5963,129,147,154.99138
2.64306,11.03329,95.74689,129,147,154.92801
2.64333,9.50055,96.1503,129,147,154.93088
2.64361,9.40933,97.64812,129,147,155.08025
2.64389,9.98294,99.38963,129,147,155.07596
2.64417,11.09909,100.90249,129,147,155.09766
2.64444,12.82355,101.9137,129,147,155.093
2.64472,14.4297,102.51157,128,143,155.08789
2.645,15.57858,102.07971,128,143,155.07101
2.64528,16.11404,101.28333,128,143,155.0686
2.64556,15.7479,100.01825,128,143,155.05273
2.64583,14.16583,98.43697,128,143,155.04465
2.64611,12.14286,96.78103,128,143,155.02676
